x,time,se
-0.016029124605836,2023-04-30,0.0244208375734746
-0.016029124605836,2023-05-05,0.0196913360194542
-0.0242360265243686,2023-05-10,0.0192666751720928
-0.0324429284429013,2023-05-15,0.0207701072765704
-0.0309133859365714,2023-05-20,0.0241804039430827
-0.0293838434302415,2023-05-25,0.0268041662850349
-0.0278543009239117,2023-05-30,0.0288567417155108
-0.0263247584175818,2023-06-04,0.0304538432952288
-0.024795215911252,2023-06-09,0.0316644661612943
-0.0232656734049221,2023-06-14,0.0325317856860624
-0.0217361308985922,2023-06-19,0.0330828136557759
-0.0202065883922624,2023-06-24,0.0333332395013811
-0.0186770458859325,2023-06-29,0.033289847833008
-0.0171475033796027,2023-07-04,0.0329514779433027
-0.0156179608732728,2023-07-09,0.0323088632632882
-0.0140884183669429,2023-07-14,0.0313432960758516
-0.0125588758606131,2023-07-19,0.0300236338447877
-0.0110293333542832,2023-07-24,0.0283003849162519
-0.00949979084795336,2023-07-29,0.0260937118935751
-0.0079702483416235,2023-08-03,0.0232664701056377
-0.00644070583529364,2023-08-08,0.019551273073202
-0.00386107975623419,2023-08-13,0.021837345676601
-0.00128145367717474,2023-08-18,0.0231654664834142
0.00129817240188472,2023-08-23,0.0236972528443146
0.00387779848094417,2023-08-28,0.0234868586898917
0.00645742456000362,2023-09-02,0.0225134860394581
0.00903705063906307,2023-09-07,0.0206696240884343
0.00852328683226948,2023-09-12,0.02371593568351
0.00800952302547588,2023-09-17,0.0257817699716114
0.00749575921868229,2023-09-22,0.0270923519195229
0.00698199541188869,2023-09-27,0.0277548773070782
0.0064682316050951,2023-10-02,0.0278156917632503
0.00595446779830151,2023-10-07,0.0272788198854502
0.00544070399150791,2023-10-12,0.0261074152790928
0.00492694018471432,2023-10-17,0.024209544871903
0.00441317637792072,2023-10-22,0.0213927278623334
-0.00866405119186489,2023-10-27,0.0145590782952843
-0.0225865729788476,2023-11-01,0.0136555050216613
-0.0331247051764024,2023-11-06,0.0164190888597277
-0.0355951458568542,2023-11-11,0.0165177399068928
-0.0289984807684342,2023-11-16,0.015877009024556
-0.0224018156800142,2023-11-21,0.0176259350931573
-0.0250410325942401,2023-11-26,0.0196337581263312
-0.027680249508466,2023-12-01,0.0196879987916826
-0.0303194664226919,2023-12-06,0.0178065185446861
-0.0425178720272921,2023-12-11,0.0136380652429088
-0.0533608610246647,2023-12-16,0.0133029898806393
-0.0627641377069197,2023-12-21,0.0147150231444256
-0.0668916729704661,2023-12-26,0.0158947943167205
-0.0710192082340125,2023-12-31,0.0140342291511677
-0.0713423970581104,2024-01-05,0.0130858260270645
-0.0762032532754934,2024-01-10,0.0128780951151003
-0.0830887873507754,2024-01-15,0.013210320830089
-0.0877480236147875,2024-01-20,0.013697047810349
-0.0915067648099165,2024-01-25,0.0146757577738279
-0.0893527397172858,2024-01-30,0.0135928533295771
-0.082684732445375,2024-02-04,0.0130832045774053
-0.0830037790146178,2024-02-09,0.0130825752859749
-0.0873833956859531,2024-02-14,0.0145721345711704
-0.0890380547679724,2024-02-19,0.0181973648931178
-0.0906927138499917,2024-02-24,0.0199962727931328
-0.0813338012471755,2024-02-29,0.0169983818794058
-0.0601707343487166,2024-03-05,0.0150322127311129
-0.0528034847204687,2024-03-10,0.0172627991077807
-0.0454362350922207,2024-03-15,0.0171414708339344
-0.0380689854639728,2024-03-20,0.0146097497425015
-0.0349390425582199,2024-03-25,0.0131950537960959
-0.0215257771241725,2024-03-30,0.0154557657495101
-0.0148779234924409,2024-04-04,0.017372096338139
-0.0171284625712738,2024-04-09,0.0150103524250356
-0.0218351884234118,2024-04-14,0.0133842565436531
-0.0309416684255576,2024-04-19,0.0140435205658525
-0.0327821167384198,2024-04-24,0.0150935862580292
-0.0254202715816269,2024-04-29,0.0161305927669466
